Name,PO4_y_copernicus_2
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2083,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2084,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2085,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2086,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2087,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2088,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2089,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2090,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2091,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2092,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2093,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2094,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2095,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2096,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2097,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2098,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2099,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
